Category,Item Name,Dine In Price,Take Away Price
MINUMAN - TEH,Teh O Limau Ais Besar,4.8,4.8
MINUMAN - TEH,Teh C BESAR,3,3.3
MINUMAN - TEH,Teh C HALIA AIS,3.9,3.9
MINUMAN - TEH,Teh Besar,2.8,3
MINUMAN - TEH,Teh O Ais,2.8,2.8
MINUMAN - TEH,Teh O Halia,2.5,2.8
MINUMAN - TEH,Teh C Ais,3.3,3.3
MINUMAN - TEH,Teh C Halia Ais Besar,5.5,5.8
MINUMAN - TEH,Teh Ais,3.3,3.3
MINUMAN - TEH,Teh O Ais Besar,4,4.3
MINUMAN - TEH,Teh O Halia Besar,3,3.3
MINUMAN - TEH,Teh C Halia,3,3.3
MINUMAN - TEH,Teh Halia Ais Besar,5.5,5.8
MINUMAN - TEH,Teh Ais Besar,5,5
MINUMAN - TEH,Teh O Limau,2.3,2.6
MINUMAN - TEH,Teh Halia,2.6,3.3
MINUMAN - TEH,Teh C Halia Besar,3.3,3.6
MINUMAN - TEH,Teh O Halia Ais,3.3,3.3
MINUMAN - TEH,Teh O Limau Besar,2.6,2.9
MINUMAN - TEH,Teh Halia Ais,3.6,3.6
MINUMAN - TEH,Teh Halia Besar,3,3
MINUMAN - TEH,3 Layer Tea,5.8,5.8
MINUMAN - TEH,Teh O Ais Lychee,6.2,6.2
MINUMAN - TEH,TEH AIS CINCAU,6,6
MINUMAN - TEH,Halia O,2,2.3
MINUMAN - TEH,Serai Halia Ais,3.8,3.8
MINUMAN - TEH,Halia O Ais,2.5,2.8
MINUMAN - TEH,Serai Halia,3,3.3
MINUMAN - TELUR,Telur 1/2 Masak 2 Biji Biasa,3.6,3.6
MINUMAN - TELUR,Telur 1/2 Masak 1 Biji Biasa,1.8,1.8
MINUMAN - TELUR,Telur Kampung 1/2 Masak 2 Biji,4.4,4.4
MINUMAN - TELUR,Telur Kampung 1/2 Masak 1 Biji,2.2,2.2
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Biasa,3.5,3.5
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Bawang,4.3,4.3
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Kaya,4.5,4.5
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Cendawan,6,6
NAAN/ TANDOORI - NAAN/ TANDOORI,Ayam Tandoori,9,9
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Cheese,9,9
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Cheese Double,11.5,11.5
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Cheese Triple,13.5,13.5
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Cheese Butter,9,9
NAAN/ TANDOORI - NAAN/ TANDOORI,Ayam Tandoori Dada,9,9
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Garlic,4.5,4.5
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Cheese Garlic,11,11
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Cheese Garlic Double,11.5,11.5
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Garlic Cheese Double,13.5,13.5
NAAN/ TANDOORI - NAAN/ TANDOORI,Ayam Tandoori Peha,9,9
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Butter,4.5,4.5
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Garlic Butter,5.8,5.8
NAAN/ TANDOORI - NAAN/ TANDOORI,Naan Shahjahan,20,20
NAAN/ TANDOORI - NAAN/ TANDOORI,NASI--PUTIH,2.5,2.5
NAAN/ TANDOORI - NAAN/ TANDOORI,Capati Tampal,0,0
NASI KANDAR - BRIYANI,Nasi Briyani Ayam,14,14
NASI KANDAR - BRIYANI,Nasi Briyani Ayam Bawang,16,16
NASI KANDAR - BRIYANI,Nasi Briyani Ayam 65,14,14
NASI KANDAR - BRIYANI,Nasi Briyani Kambing,18,18
NASI KANDAR - BRIYANI,Nasi Briyani Daging,15,15
NASI KANDAR - BRIYANI,Nasi Briyani Ikan,15,15
NASI KANDAR - BRIYANI,Nasi Briyani Telur,7,7
NASI KANDAR - BRIYANI,Nasi Briyani Kosong,5,5
NASI KANDAR - BRIYANI,NASI BERIYANI,0,0
NASI KANDAR - LAUK LAUK,Nasi Kandar,0,0
NASI KANDAR - LAUK LAUK,Nasi Putih,2.5,2.5
NASI KANDAR - LAUK LAUK,Nasi Separuh,1.5,1.5
NASI KANDAR - LAUK LAUK,Sayur,2,2
NASI KANDAR - LAUK LAUK,Ayam Goreng,5.5,5.5
NASI KANDAR - LAUK LAUK,LAUK-LAUK,0,0
NASI KANDAR - LAUK LAUK,Nasi + Ayam + Sayur,9.5,9.5
NASI KANDAR - LAUK LAUK,Nasi + Kambing,14,14
NASI KANDAR - LAUK LAUK,Nasi + Kambing + Sayur,16,16
NASI KANDAR - LAUK LAUK,Kambing,12,12
NASI KANDAR - LAUK LAUK,Nasi + Ayam,7.5,7.5
NASI KANDAR - LAUK LAUK,Ayam Kicap,6,6
NASI KANDAR - LAUK LAUK,Ayam Madu,6,6
NASI KANDAR - LAUK LAUK,Ayam Kurma,6,6
NASI KANDAR - LAUK LAUK,Ayam Bawang,6,6
NASI KANDAR - LAUK LAUK,Ayam Kari,6,6
NASI KANDAR - LAUK LAUK,Perut Kambing,10,10
NASI KANDAR - LAUK LAUK,Daging,10,10
NASI KANDAR - LAUK LAUK,Ayam.,0,0
NASI KANDAR - LAUK LAUK,Hati Ayam Goreng,0,0
NASI KANDAR - LAUK LAUK,Kambing.,0,0
NASI KANDAR - LAUK LAUK,Ikan Tenggiri,0,0
NASI KANDAR - LAUK LAUK,Telur Ikan,10,10
NASI KANDAR - LAUK LAUK,Telur Masin Separuh,2,2
NASI KANDAR - LAUK LAUK,Ikan Tenggiri Kari,0,0
NASI KANDAR - LAUK LAUK,Ikan.,0,0
NASI KANDAR - LAUK LAUK,Kepala Ikan,0,0
NASI KANDAR - LAUK LAUK,Telur Sotong,10,10
NASI KANDAR - LAUK LAUK,Telur Masin 1 Biji,4,4
NASI KANDAR - LAUK LAUK,Pappadam,1,1
NASI KANDAR - LAUK LAUK,SAYUR OPEN,0,0
NASI KANDAR - LAUK LAUK,Udang Sambal,0,0
NASI KANDAR - LAUK LAUK,Sotong Goreng,0,0
NASI KANDAR - LAUK LAUK,Udang Goreng,0,0
NASI KANDAR - LAUK LAUK,Telur Rebus,2,2
NASI KANDAR - LAUK LAUK,NASI TAMBAH,1,1
NASI KANDAR - LAUK LAUK,Sotong Kari,0,0
NASI KANDAR - LAUK LAUK,OMLET,2.5,2.5
NASI KANDAR - LAUK LAUK,Telur Mata,1.8,1.8
NASI KANDAR - LAUK LAUK,PERKEDEL,2,2
NASI LEMAK - NASI LEMAK,NASI LEMAK BIASA,3.8,3.8
NASI LEMAK - NASI LEMAK,NASI LEMAK AYAM GORENG,9,9
NASI LEMAK - NASI LEMAK,NASI LEMAK KAMBING,13.5,13.5
NASI LEMAK - NASI LEMAK,NASI LEMAK DAGING,12.5,12.5
NASI LEMAK - NASI LEMAK,NASI LEMAK TAMBAH,1.5,1.5
NASI LEMAK - NASI LEMAK,NASI LEMAK AYAM MASAK MERAH,9,9
NASI LEMAK - NASI LEMAK,NASI LEMAK KERANG RENDANG,9,9
NASI LEMAK - NASI LEMAK,NASI LEMAK KERANG SAMBAL,8.5,8.5
NASI LEMAK - NASI LEMAK,NASI LEMAK SAMBAL IKAN BILIS + TELUR GORENG,7,7
NASI LEMAK - NASI LEMAK,NASI LEMAK SAMBAL IKAN BILIS PETAI + TELUR GORENG,7.5,7.5
NASI LEMAK - NASI LEMAK,NASI LEMAK SAMBAL SOTONG FRESH,9,9
NASI LEMAK - NASI LEMAK,NASI LEMAK SAMBAL SOTONG KEMBANG,8.5,8.5
NASI LEMAK - NASI LEMAK,NASI LEMAK SAMBAL UDANG,9.5,9.5
NASI LEMAK - NASI LEMAK,NASI LEMAK TELUR GORENG,3.8,3.8
NASI LEMAK - NASI LEMAK,NASI LEMAK TELUR SAMBAL,5,5
NASI LEMAK - NASI LEMAK,NASI LEMAK TELUR REBUS,3.8,3.8
NASI LEMAK - NASI LEMAK,NASI LEMAK DAGING RENDANG,11.5,11.5
NASI LEMAK - NASI LEMAK,NASI LEMAK DAGING DENDENG,11.5,11.5
NASI LEMAK - NASI LEMAK,NASI LEMAK DAGING DENDENG BERLADO,11.5,11.5
NASI LEMAK - NASI LEMAK,NASI LEMAK PARU BERLADO,7.5,7.5
NASI LEMAK - NASI LEMAK LAUK LAUK,TELUR REBUS,1.8,1.8
NASI LEMAK - NASI LEMAK LAUK LAUK,TELUR GORENG,1.8,1.8
NASI LEMAK - NASI LEMAK LAUK LAUK,TELUR SAMBAL,2,2
NASI LEMAK - NASI LEMAK LAUK LAUK,DAGING RENDANG,10.5,10.5
NASI LEMAK - NASI LEMAK LAUK LAUK,DAGING DENDENG BERLADO ( DENDENG BATOKO),10.5,10.5
NASI LEMAK - NASI LEMAK LAUK LAUK,GULAI TUNJANG,12.5,12.5
NASI LEMAK - NASI LEMAK LAUK LAUK,DAGING (TETEL) GULAI,10.5,10.5
NASI LEMAK - NASI LEMAK LAUK LAUK,DAGING SALAI GULAI,12.5,12.5
NASI LEMAK - NASI LEMAK LAUK LAUK,AYAM POP,10,10
NASI LEMAK - NASI LEMAK LAUK LAUK,AYAM GORENG BEREMPAH,6,6
NASI LEMAK - NASI LEMAK LAUK LAUK,AYAM BERLADO,6,6
NASI LEMAK - NASI LEMAK LAUK LAUK,AYAM BAKAR,7,7
NASI LEMAK - NASI LEMAK LAUK LAUK,AYAM RENDANG,7.5,7.5
NASI LEMAK - NASI LEMAK LAUK LAUK,AYAM GULAI,7,7
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN KELI GULAI,7.5,7.5
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN TALAPIA GULAI,7.5,7.5
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN KEMBUNG GULAI,8,8
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN KEMBUNG ASAM PEDAS,8,8
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN PARI ASAM PEDAS,8.5,8.5
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN TENGGIRI ASAM PEDAS,9,9
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN TALAPIA BERLADO,7.5,7.5
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN KELI BERLADO,7.5,7.5
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN KEMBUNG BERLADO,8,8
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN TALAPIA BAKAR,7.5,7.5
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN KELI BAKAR,7.5,7.5
NASI LEMAK - NASI LEMAK LAUK LAUK,IKAN KEMBUNG BAKAR,8,8
NASI LEMAK - NASI LEMAK LAUK LAUK,SAMBAL SOTONG KERING,8.5,8.5
NASI LEMAK - NASI LEMAK LAUK LAUK,SAMBAL SOTONG FRESH,9,9
NASI LEMAK - NASI LEMAK LAUK LAUK,SAMBAL UDANG,9,9
NASI LEMAK - NASI LEMAK LAUK LAUK,PARU BERLADO,7,7
NASI LEMAK - NASI LEMAK LAUK LAUK,PERGEDIL KENTANG,1.8,1.8
NASI LEMAK - NASI LEMAK LAUK LAUK,TELUR DADAR,2,2
NASI LEMAK - NASI LEMAK LAUK LAUK,TERUNG BERLADO,3,3
NASI LEMAK - NASI LEMAK LAUK LAUK,SAMBAL HATI PEDAL,4,4
NASI LEMAK - NASI LEMAK LAUK LAUK,GULAI PUCUK PAKU,2.5,2.5
NASI LEMAK - NASI LEMAK LAUK LAUK,GULAI PUCUK UBI,2.5,2.5
NASI LEMAK - NASI LEMAK LAUK LAUK,GULAI NANGKA MUDA,2.5,2.5
NASI LEMAK - NASI LEMAK LAUK LAUK,PUCUK UBI REBUS,2,2
NASI LEMAK - NASI LEMAK LAUK LAUK,KERANG RENDANG,7,7
NASI LEMAK - NASI LEMAK LAUK LAUK,KERANG SAMBAL,6,6
NASI LEMAK - NASI LEMAK LAUK LAUK,SAMBAL IKAN BILIS,3,3
NASI LEMAK - NASI LEMAK LAUK LAUK,SAMBAL IKAN BILIS PETAI,4,4
OPEN ITEM - OPEN ITEM,Open minuman,0,0
OPEN ITEM - OPEN ITEM,Open Juice,0,0
OPEN ITEM - OPEN ITEM,Open Goreng,0,0
OPEN ITEM - OPEN ITEM,Open Naan,0,0
OPEN ITEM - OPEN ITEM,Open Food,0,0
OPEN ITEM - OPEN ITEM,OPEN TOMYUM,0,0
OPEN ITEM - OPEN ITEM,OPEN GORENG TOMYUM,0,0
OPEN ITEM - OPEN ITEM,OPEN ROTI,0,0
OPEN ITEM - OPEN ITEM,OPEN NASI KANDAR,0,0
ROKOK - ROKOK,Dunhil,17.7,17.7
ROKOK - ROKOK,Marlboro,17.4,17.4
ROKOK - ROKOK,Mevius,17.4,17.4
ROKOK - ROKOK,Winston,15.9,15.9
ROKOK - ROKOK,Sampoerna,15.9,15.9
ROKOK - ROKOK,Pallmall,15.9,15.9
ROKOK - ROKOK,Peter,16.2,16.2
ROKOK - ROKOK,LM,15.9,15.9
ROKOK - ROKOK,Kent,17.4,17.4
ROKOK - ROKOK,Benson,17.9,17.9
ROKOK - ROKOK,Chesterfield,12.4,12.4
ROKOK - ROKOK,LD,12,12
ROKOK - ROKOK,Rothmans,12.4,12.4
ROKOK - ROKOK,Bond,12,12
ROKOK - ROKOK,Heets,14,14
ROKOK - ROKOK,KYO,13,13
ROTI - MURTABAK,Murtabak Ayam,9,9
ROTI - MURTABAK,Murtabak Daging,10,10
ROTI - MURTABAK,Murtabak Kambing,12,12
ROTI - MURTABAK,Murtabak Sardin,6.5,6.5
ROTI - MURTABAK,Murtabak Special,0,0
ROTI - ROTI,Roti Canai,1.7,1.7
ROTI - ROTI,Roti Telur,3.2,3.2
ROTI - ROTI,Roti Tampal,3.2,3.2
ROTI - ROTI,Roti Planta,2.8,2.8
ROTI - ROTI,Roti Pisang,3.8,3.8
ROTI - ROTI,Roti Petak,1.7,1.7
ROTI - ROTI,Roti Tisu,3.8,3.8
ROTI - ROTI,Roti Telur Bawang,3.8,3.8
ROTI - ROTI,Roti Bawang,2.7,2.7
ROTI - ROTI,Roti Telur Bawang Cili,4,4
ROTI - ROTI,Roti Bawang Cili,3,3
ROTI - ROTI,Roti Susu,2.7,2.7
ROTI - ROTI,Roti Cheese,3.2,3.2
ROTI - ROTI,Roti Double Cheese,4.7,4.7
ROTI - ROTI,Roti Kaya,3,3
ROTI - ROTI,Roti Boom,3,3
ROTI - ROTI,Roti Sardin,4.8,4.8
ROTI - ROTI,Roti Jantan,4.8,4.8
ROTI - ROTI,Roti Jantan Bawang,5.2,5.2
ROTI - ROTI,Roti Milo,3.8,3.8
ROTI - ROTI,Roti Telur Cheese,4.7,4.7
ROTI - ROTI,Roti Pisang Telur,4.8,4.8
ROTI - ROTI,Roti Boom Cheese,4.5,4.5
ROTI - ROTI,Roti Planta Telur,4,4
ROTI - ROTI,Roti Special,5.3,5.3
ROTI - ROTI,Roti Kawin,4.8,4.8
ROTI - ROTI,Roti Goreng Biasa,7.5,7.5
ROTI - ROTI,Roti Goreng Ayam,11,11
ROTI - ROTI,ROTI SARANG BURUNG,5,5
ROTI - ROTI,Roti Goreng Kambing,14,14
ROTI - ROTI,PISANG,0,0
ROTI - ROTI BAKAR,Roti Bakar,2,2
ROTI - ROTI BAKAR,Roti Bakar Telur,4.2,4.2
ROTI - ROTI BAKAR,Roti Bakar Cheese,3,3
ROTI - ROTI BAKAR,Roti Bakar Telur Cheese,5,5
ROTI - ROTI BAKAR,Roti Arab Biasa,3.5,3.5
ROTI - ROTI BAKAR,Roti Arab Cheese,4.8,4.8
ROTI - ROTI BAKAR,Roti Arab Telur,4.8,4.8
ROTI - ROTI BAKAR,Roti Arab Sardin,6.5,6.5
ROTI - ROTI BAKAR,Roti Arab Ayam,8,8
ROTI - ROTI BAKAR,Roti Arab Daging,8,8
ROTI - ROTI BAKAR,Roti Arab Kambing,10,10
ROTI - ROTI BAKAR,ROTI BAKAR SPECIAL,5.2,5.2
ROTI - TELUR,Telur Mata,1.8,1.8
ROTI - TELUR,Telur Goreng,1.8,1.8
ROTI - TELUR,Telur Dadar,2,2
ROTI - TELUR,Telur Omblet,2.5,2.5
ROTI - TELUR,Telur Kalaki,3,3
SUP MAMAK - SUP MAMAK,Sup Kosong Mamak,0,0
SUP MAMAK - SUP MAMAK,Sup Ayam Mamak,8.5,8.5
SUP MAMAK - SUP MAMAK,Sup Kambing Mamak,12,12
SUP MAMAK - SUP MAMAK,Roti Slice 3 Keping,1.8,1.8
SUP MAMAK - SUP MAMAK,ROTI SLICE 1 KEPING,0.6,0.6
SUP MAMAK - SUP MAMAK,NASI  PUTIH,2.5,2.5
THOSAI/ UTHAPPAM - THOSAI,Tosai Biasa,2.5,2.5
THOSAI/ UTHAPPAM - THOSAI,Tosai Telur,3.9,3.9
THOSAI/ UTHAPPAM - THOSAI,Tosai Telur Bawang,4.5,4.5
THOSAI/ UTHAPPAM - THOSAI,Tosai Bawang,3,3
THOSAI/ UTHAPPAM - THOSAI,Tosai Telur Bawang Cili,4.8,4.8
THOSAI/ UTHAPPAM - THOSAI,Tosai Cheese,3.8,3.8
THOSAI/ UTHAPPAM - THOSAI,Tosai Cheese Telur,4.8,4.8
THOSAI/ UTHAPPAM - THOSAI,Tosai Susu,3,3
THOSAI/ UTHAPPAM - THOSAI,Tosai Paper,3.5,3.5
THOSAI/ UTHAPPAM - THOSAI,Tosai Plantha,3.5,3.5
THOSAI/ UTHAPPAM - THOSAI,Tosai Masala,4.5,4.5
THOSAI/ UTHAPPAM - THOSAI,Tosai Ghee,4.5,4.5
THOSAI/ UTHAPPAM - THOSAI,Tosai Ghee Telur,6,6
THOSAI/ UTHAPPAM - THOSAI,Tosai Gula,3,3
THOSAI/ UTHAPPAM - THOSAI,Tosai Sardin,5,5
THOSAI/ UTHAPPAM - THOSAI,Tosai Rumah,2.5,2.5
THOSAI/ UTHAPPAM - THOSAI,Tosai Rumah Telur,3.9,3.9
THOSAI/ UTHAPPAM - THOSAI,Rawa Tosai,3.8,3.8
THOSAI/ UTHAPPAM - THOSAI,Rawa Tosai Masala,5.3,5.3
THOSAI/ UTHAPPAM - THOSAI,Rawa Tosai Telur,5.3,5.3
THOSAI/ UTHAPPAM - THOSAI,Uthappam,2.5,2.5
THOSAI/ UTHAPPAM - THOSAI,Uthappam Telur,3.9,3.9
THOSAI/ UTHAPPAM - THOSAI,Uthappam Bawang,3,3
THOSAI/ UTHAPPAM - THOSAI,Uthappam Telur Bawang,4.5,4.5
THOSAI/ UTHAPPAM - THOSAI,Uthappam Ghee,4.5,4.5
THOSAI/ UTHAPPAM - THOSAI,Tosai Pisang,4.5,4.5
UBAT / GULA-GULA - UBAT GULA-GULA,Gula- Gula,0,0
UBAT / GULA-GULA - UBAT GULA-GULA,Gula- Gula Rm1.00,1,1
UBAT / GULA-GULA - UBAT GULA-GULA,Lighter,1,1
UBAT / GULA-GULA - UBAT GULA-GULA,Ubat,0,0
UBAT / GULA-GULA - UBAT GULA-GULA,Kacang,2,2
UBAT / GULA-GULA - UBAT GULA-GULA,Kacang Manis,2,2
UBAT / GULA-GULA - UBAT GULA-GULA,YSM Asam,4,4
UBAT / GULA-GULA - UBAT GULA-GULA,Marsmallow,4.5,4.5
UBAT / GULA-GULA - UBAT GULA-GULA,Mentos Stick,2.2,2.2
UBAT / GULA-GULA - UBAT GULA-GULA,Mentos Box,3.8,3.8
UBAT / GULA-GULA - UBAT GULA-GULA,Roti Bun,0,0
UBAT / GULA-GULA - UBAT GULA-GULA,DETOX PLASTER,10,10
UBAT / GULA-GULA - UBAT GULA-GULA,PERFUME,10,10
UBAT / GULA-GULA - UBAT GULA-GULA,GULA GULA RM1.20,1.2,1.2
WESTERN - WESTERN,FRENCH FRIES,6,6
